"time","consumption_rate","investment_rate","profit_mass","profit_rate","profit_share","saving_rate","utilization_rate","wage_mass","wage_share"
0,0.04833333333333335,0.03500000000000001,0.05000000000000002,0.01666666666666667,0.2,0.03500000000000001,0.2500000000000001,0.2000000000000001,0.8
0.2,0.05051998169144246,0.03772760977582255,0.05626666167821521,0.01875555389273841,0.2125333233564304,0.03772760977582255,0.264742774401795,0.2084761127235798,0.7874666766435696
0.4,0.05229770645228675,0.04025172972476368,0.06243449435824275,0.02081149811941425,0.2248689887164855,0.04025172972476368,0.2776483085311513,0.2152138141729086,0.7751310112835145
0.6,0.05371999439763069,0.0425674912087657,0.06840622763423394,0.02280207587807798,0.2368124552684678,0.0425674912087657,0.2888624568191892,0.2204562291849552,0.7631875447315322
0.8,0.05483936103353943,0.04467049293011282,0.07408768370508574,0.02469589456836191,0.2481753674101715,0.04467049293011282,0.2985295618909568,0.224441878185871,0.7518246325898285
1,0.05570521744138274,0.04655631107905651,0.07938926261462366,0.02646308753820788,0.2587785252292473,0.04655631107905651,0.3067845855613178,0.2273953229466941,0.7412214747707526
1.2,0.0563625926985263,0.0482203555269211,0.08422735529643441,0.02807578509881147,0.2684547105928689,0.0482203555269211,0.3137488446763422,0.2295214893799078,0.7315452894071311
1.4,0.05685140645992086,0.04965793480819165,0.08852566213878948,0.02950855404626316,0.2770513242775789,0.04965793480819165,0.3195280238043375,0.2310023616655481,0.7229486757224211
1.6,0.05720608219144223,0.0508644341606469,0.09221639627510078,0.03073879875836693,0.2844327925502015,0.0508644341606469,0.3242115490562674,0.2319951527811666,0.7155672074497985
1.8,0.05745536248820465,0.05183554181588799,0.09524135262330098,0.03174711754110033,0.290482705246602,0.05183554181588799,0.3278727129122779,0.232631360288977,0.7095172947533981
2,0.05762223760702039,0.05256748063579664,0.09755282581475763,0.03251760860491922,0.2951056516295154,0.05256748063579664,0.3305691547284511,0.2330163289136934,0.7048943483704846
2.2,0.05772393183285154,0.05305721722448907,0.09911436253643444,0.03303812084547814,0.2982287250728689,0.05305721722448907,0.3323434471720219,0.2332290846355874,0.7017712749271311
2.4,0.05777191421105603,0.05330263078228504,0.09990133642141356,0.03330044547380452,0.2998026728428272,0.05330263078228504,0.3332236349800232,0.2333222985586097,0.7001973271571729
2.6,0.05777191421105603,0.05330263078228504,0.09990133642141356,0.03330044547380452,0.2998026728428272,0.05330263078228504,0.3332236349800232,0.2333222985586097,0.7001973271571729
2.8,0.05772393183285154,0.05305721722448907,0.09911436253643444,0.03303812084547814,0.2982287250728689,0.05305721722448907,0.3323434471720219,0.2332290846355874,0.7017712749271311
3,0.05762223760702042,0.05256748063579667,0.09755282581475772,0.03251760860491924,0.2951056516295154,0.05256748063579667,0.3305691547284513,0.2330163289136936,0.7048943483704846
3.2,0.05745536248820466,0.051835541815888,0.095241352623301,0.03174711754110033,0.290482705246602,0.051835541815888,0.327872712912278,0.232631360288977,0.7095172947533981
3.4,0.05720608219144221,0.05086443416064688,0.09221639627510077,0.03073879875836692,0.2844327925502015,0.05086443416064688,0.3242115490562673,0.2319951527811666,0.7155672074497985
3.6,0.05685140645992086,0.04965793480819165,0.08852566213878948,0.02950855404626316,0.2770513242775789,0.04965793480819165,0.3195280238043375,0.2310023616655481,0.7229486757224211
3.8,0.05636259269852632,0.04822035552692112,0.08422735529643445,0.02807578509881148,0.2684547105928689,0.04822035552692112,0.3137488446763423,0.2295214893799078,0.731545289407131
4,0.05570521744138276,0.04655631107905652,0.07938926261462367,0.02646308753820789,0.2587785252292473,0.04655631107905652,0.3067845855613178,0.2273953229466942,0.7412214747707526
4.2,0.05483936103353944,0.04467049293011283,0.07408768370508576,0.02469589456836192,0.2481753674101715,0.04467049293011283,0.2985295618909568,0.2244418781858711,0.7518246325898285
4.4,0.05371999439763065,0.04256749120876568,0.0684062276342339,0.02280207587807797,0.2368124552684678,0.04256749120876568,0.288862456819189,0.2204562291849551,0.7631875447315322
4.6,0.05229770645228675,0.04025172972476368,0.06243449435824276,0.02081149811941425,0.2248689887164855,0.04025172972476368,0.2776483085311513,0.2152138141729086,0.7751310112835145
4.8,0.05051998169144246,0.03772760977582255,0.05626666167821523,0.01875555389273841,0.2125333233564305,0.03772760977582255,0.2647427744017951,0.2084761127235798,0.7874666766435695
5,0.04833333333333335,0.03500000000000001,0.05000000000000002,0.01666666666666667,0.2,0.03500000000000001,0.2500000000000001,0.2000000000000001,0.8
5.2,0.04568671639684429,0.0320752608334432,0.04373333832178478,0.01457777944059493,0.1874666766435696,0.0320752608334432,0.2332859316908625,0.1895525933690777,0.8125333233564305
5.4,0.04253677059627126,0.02896304615318974,0.03756550564175722,0.01252183521391907,0.1751310112835145,0.02896304615318974,0.214499450248383,0.1769339446066258,0.8248689887164855
5.6,0.0388555278582992,0.02567916118663283,0.03159377236576611,0.01053125745525537,0.1631875447315323,0.02567916118663283,0.1936040671347961,0.1620102947690299,0.8368124552684677
5.8,0.03464116109197805,0.02224973083796608,0.02591231629491422,0.008637438764971406,0.1518246325898285,0.02224973083796608,0.1706726757898324,0.1447603594949182,0.8481753674101715
6,0.02993196549968432,0.01871676732425795,0.02061073738537636,0.006870245795125453,0.1412214747707527,0.01871676732425795,0.1459461984718268,0.1253354610864505,0.8587785252292472
6.2,0.02482278427781549,0.01514480603436823,0.01577264470356557,0.005257548234521857,0.1315452894071311,0.01514480603436823,0.1199027709365511,0.1041301262329856,0.8684547105928688
6.4,0.01948125555570212,0.01162749176993249,0.01147433786121055,0.003824779287070184,0.1229486757224211,0.01162749176993249,0.09332624197690384,0.08185190411569329,0.8770513242775789
6.6,0.01415858675923087,0.008291852532498735,0.00778360372489927,0.002594534574966423,0.1155672074497985,0.008291852532498735,0.06735131787518882,0.05956771415028955,0.8844327925502015
6.8,0.009186861484775729,0.005296839886817896,0.004758647376699045,0.001586215792233015,0.1095172947533981,0.005296839886817896,0.04345110411478088,0.03869245673808183,0.8904827052466019
7,0.004954207444546074,0.00282242438630327,0.002447174185242333,0.000815724728414111,0.1048943483704847,0.00282242438630327,0.02332989549254803,0.0208827213073057,0.8951056516295154
7.2,0.001853393807590881,0.001047350907129113,0.0008856374635655731,0.000295212487855191,0.1017712749271311,0.001047350907129113,0.00870223414415998,0.007816596680594408,0.8982287250728689
7.4,0.0002100289188825478,0.0001182019876886424,9.866357858642694e-05,3.288785952880898e-05,0.1001973271571728,0.0001182019876886424,0.0009846927197135705,0.0008860291411271436,0.8998026728428271
7.6,0.0002100289188825511,0.0001182019876886443,9.86635785864285e-05,3.28878595288095e-05,0.1001973271571728,0.0001182019876886443,0.0009846927197135862,0.0008860291411271576,0.8998026728428271
7.8,0.001853393807590883,0.001047350907129114,0.0008856374635655739,0.0002952124878551913,0.1017712749271311,0.001047350907129114,0.008702234144159989,0.007816596680594416,0.8982287250728689
8,0.004954207444546052,0.002822424386303257,0.002447174185242322,0.0008157247284141072,0.1048943483704846,0.002822424386303257,0.02332989549254793,0.02088272130730561,0.8951056516295154
8.199999999999999,0.009186861484775686,0.005296839886817869,0.004758647376699019,0.001586215792233006,0.109517294753398,0.005296839886817869,0.04345110411478066,0.03869245673808164,0.890482705246602
8.4,0.01415858675923085,0.008291852532498725,0.007783603724899259,0.002594534574966419,0.1155672074497985,0.008291852532498725,0.06735131787518873,0.05956771415028948,0.8844327925502015
8.6,0.01948125555570211,0.01162749176993249,0.01147433786121054,0.003824779287070181,0.122948675722421,0.01162749176993249,0.09332624197690378,0.08185190411569324,0.8770513242775789
8.800000000000001,0.02482278427781552,0.01514480603436825,0.0157726447035656,0.005257548234521866,0.1315452894071312,0.01514480603436825,0.1199027709365513,0.1041301262329857,0.8684547105928688
9,0.02993196549968432,0.01871676732425795,0.02061073738537635,0.006870245795125451,0.1412214747707527,0.01871676732425795,0.1459461984718268,0.1253354610864505,0.8587785252292474
9.199999999999999,0.03464116109197804,0.02224973083796608,0.0259123162949142,0.008637438764971399,0.1518246325898284,0.02224973083796608,0.1706726757898324,0.1447603594949182,0.8481753674101716
9.4,0.03885552785829923,0.02567916118663285,0.03159377236576612,0.01053125745525538,0.1631875447315322,0.02567916118663285,0.1936040671347962,0.1620102947690301,0.8368124552684678
9.6,0.04253677059627128,0.02896304615318975,0.03756550564175722,0.01252183521391908,0.1751310112835145,0.02896304615318975,0.2144994502483831,0.1769339446066258,0.8248689887164855
9.800000000000001,0.04568671639684433,0.03207526083344323,0.04373333832178483,0.01457777944059494,0.1874666766435696,0.03207526083344323,0.2332859316908627,0.1895525933690778,0.8125333233564304
10,0.04833333333333333,0.035,0.05,0.01666666666666666,0.2,0.035,0.25,0.2,0.8
10.2,0.05051998169144245,0.03772760977582253,0.05626666167821517,0.01875555389273839,0.2125333233564303,0.03772760977582253,0.2647427744017949,0.2084761127235798,0.7874666766435696
10.4,0.05229770645228674,0.04025172972476367,0.06243449435824273,0.02081149811941424,0.2248689887164855,0.04025172972476367,0.2776483085311512,0.2152138141729085,0.7751310112835145
10.6,0.05371999439763064,0.04256749120876567,0.06840622763423387,0.02280207587807796,0.2368124552684678,0.04256749120876567,0.2888624568191889,0.2204562291849551,0.7631875447315323
10.8,0.05483936103353946,0.04467049293011285,0.07408768370508578,0.02469589456836193,0.2481753674101716,0.04467049293011285,0.2985295618909569,0.2244418781858711,0.7518246325898285
11,0.05570521744138276,0.04655631107905652,0.07938926261462367,0.02646308753820789,0.2587785252292473,0.04655631107905652,0.3067845855613178,0.2273953229466942,0.7412214747707526
11.2,0.0563625926985263,0.0482203555269211,0.08422735529643438,0.02807578509881146,0.2684547105928688,0.0482203555269211,0.3137488446763422,0.2295214893799078,0.7315452894071313
11.4,0.05685140645992087,0.04965793480819165,0.0885256621387895,0.02950855404626317,0.2770513242775789,0.04965793480819165,0.3195280238043376,0.2310023616655481,0.7229486757224211
11.6,0.05720608219144224,0.0508644341606469,0.09221639627510078,0.03073879875836693,0.2844327925502015,0.0508644341606469,0.3242115490562674,0.2319951527811666,0.7155672074497985
11.8,0.05745536248820464,0.05183554181588798,0.09524135262330097,0.03174711754110032,0.290482705246602,0.05183554181588798,0.3278727129122779,0.2326313602889769,0.7095172947533981
12,0.05762223760702041,0.05256748063579667,0.09755282581475769,0.03251760860491923,0.2951056516295154,0.05256748063579667,0.3305691547284512,0.2330163289136935,0.7048943483704846
12.2,0.05772393183285156,0.05305721722448908,0.09911436253643444,0.03303812084547814,0.2982287250728688,0.05305721722448908,0.3323434471720219,0.2332290846355875,0.7017712749271312
12.4,0.05777191421105604,0.05330263078228505,0.09990133642141358,0.03330044547380453,0.2998026728428272,0.05330263078228505,0.3332236349800233,0.2333222985586097,0.7001973271571729
12.6,0.05777191421105603,0.05330263078228503,0.09990133642141355,0.03330044547380452,0.2998026728428272,0.05330263078228503,0.3332236349800232,0.2333222985586096,0.7001973271571729
12.8,0.05772393183285156,0.05305721722448908,0.09911436253643445,0.03303812084547815,0.2982287250728689,0.05305721722448908,0.3323434471720219,0.2332290846355874,0.7017712749271311
13,0.05762223760702043,0.05256748063579667,0.09755282581475773,0.03251760860491924,0.2951056516295154,0.05256748063579667,0.3305691547284513,0.2330163289136936,0.7048943483704846
13.2,0.05745536248820469,0.05183554181588802,0.09524135262330106,0.03174711754110035,0.290482705246602,0.05183554181588802,0.3278727129122782,0.2326313602889771,0.709517294753398
13.4,0.05720608219144221,0.05086443416064688,0.09221639627510075,0.03073879875836692,0.2844327925502015,0.05086443416064688,0.3242115490562673,0.2319951527811665,0.7155672074497985
13.6,0.05685140645992085,0.04965793480819165,0.08852566213878948,0.02950855404626316,0.277051324277579,0.04965793480819165,0.3195280238043375,0.231002361665548,0.7229486757224211
13.8,0.05636259269852628,0.0482203555269211,0.08422735529643438,0.02807578509881146,0.2684547105928689,0.0482203555269211,0.3137488446763421,0.2295214893799077,0.7315452894071311
14,0.05570521744138272,0.0465563110790565,0.07938926261462365,0.02646308753820788,0.2587785252292474,0.0465563110790565,0.3067845855613177,0.227395322946694,0.7412214747707526
14.2,0.05483936103353947,0.04467049293011287,0.07408768370508582,0.02469589456836194,0.2481753674101716,0.04467049293011287,0.298529561890957,0.2244418781858712,0.7518246325898283
14.4,0.05371999439763066,0.04256749120876568,0.06840622763423392,0.02280207587807797,0.2368124552684678,0.04256749120876568,0.288862456819189,0.2204562291849551,0.7631875447315322
14.6,0.0522977064522868,0.04025172972476371,0.06243449435824281,0.02081149811941427,0.2248689887164856,0.04025172972476371,0.2776483085311515,0.2152138141729087,0.7751310112835145
14.8,0.05051998169144242,0.03772760977582251,0.05626666167821516,0.01875555389273838,0.2125333233564304,0.03772760977582251,0.2647427744017948,0.2084761127235796,0.7874666766435696
15,0.04833333333333335,0.03500000000000002,0.05000000000000003,0.01666666666666668,0.2,0.03500000000000002,0.2500000000000001,0.2000000000000001,0.7999999999999999
15.2,0.04568671639684433,0.03207526083344325,0.04373333832178485,0.01457777944059495,0.1874666766435697,0.03207526083344325,0.2332859316908627,0.1895525933690779,0.8125333233564302
15.4,0.04253677059627127,0.02896304615318976,0.03756550564175724,0.01252183521391908,0.1751310112835145,0.02896304615318976,0.2144994502483831,0.1769339446066258,0.8248689887164855
15.6,0.03885552785829922,0.02567916118663285,0.03159377236576614,0.01053125745525538,0.1631875447315323,0.02567916118663285,0.1936040671347962,0.1620102947690301,0.8368124552684677
15.8,0.03464116109197805,0.02224973083796608,0.02591231629491422,0.008637438764971406,0.1518246325898285,0.02224973083796608,0.1706726757898324,0.1447603594949182,0.8481753674101715
16,0.02993196549968433,0.01871676732425796,0.02061073738537637,0.006870245795125455,0.1412214747707527,0.01871676732425796,0.1459461984718269,0.1253354610864505,0.8587785252292472
16.2,0.02482278427781555,0.01514480603436827,0.01577264470356562,0.005257548234521876,0.1315452894071312,0.01514480603436827,0.1199027709365515,0.1041301262329858,0.8684547105928688
16.4,0.01948125555570219,0.01162749176993254,0.01147433786121061,0.003824779287070202,0.1229486757224212,0.01162749176993254,0.09332624197690419,0.08185190411569358,0.8770513242775788
16.6,0.0141585867592308,0.008291852532498692,0.007783603724899224,0.002594534574966408,0.1155672074497984,0.008291852532498692,0.06735131787518847,0.05956771415028925,0.8844327925502016
16.8,0.009186861484775672,0.005296839886817863,0.004758647376699014,0.001586215792233005,0.109517294753398,0.005296839886817863,0.04345110411478061,0.0386924567380816,0.890482705246602
17,0.004954207444546087,0.002822424386303277,0.00244717418524234,0.0008157247284141132,0.1048943483704847,0.002822424386303277,0.02332989549254809,0.02088272130730575,0.8951056516295153
17.2,0.001853393807590889,0.001047350907129117,0.000885637463565577,0.0002952124878551923,0.1017712749271312,0.001047350907129117,0.008702234144160017,0.00781659668059444,0.8982287250728689
17.4,0.0002100289188825626,0.0001182019876886508,9.86635785864339e-05,3.28878595288113e-05,0.1001973271571729,0.0001182019876886508,0.0009846927197136399,0.000886029141127206,0.8998026728428271
17.6,0.0002100289188825695,0.0001182019876886547,9.866357858643716e-05,3.288785952881239e-05,0.1001973271571729,0.0001182019876886547,0.0009846927197136725,0.0008860291411272353,0.8998026728428271
17.8,0.001853393807590881,0.001047350907129113,0.0008856374635655732,0.0002952124878551911,0.1017712749271311,0.001047350907129113,0.00870223414415998,0.007816596680594408,0.8982287250728689
18,0.004954207444546051,0.002822424386303256,0.002447174185242321,0.000815724728414107,0.1048943483704846,0.002822424386303256,0.02332989549254792,0.0208827213073056,0.8951056516295154
18.2,0.009186861484775669,0.005296839886817861,0.004758647376699011,0.001586215792233004,0.109517294753398,0.005296839886817861,0.04345110411478059,0.03869245673808158,0.890482705246602
18.4,0.01415858675923078,0.008291852532498679,0.00778360372489921,0.002594534574966403,0.1155672074497984,0.008291852532498679,0.06735131787518837,0.05956771415028916,0.8844327925502016
18.6,0.01948125555570214,0.01162749176993251,0.01147433786121057,0.00382477928707019,0.1229486757224211,0.01162749176993251,0.09332624197690394,0.08185190411569336,0.8770513242775788
18.8,0.02482278427781552,0.01514480603436825,0.0157726447035656,0.005257548234521867,0.1315452894071312,0.01514480603436825,0.1199027709365513,0.1041301262329857,0.8684547105928688
19,0.0299319654996843,0.01871676732425794,0.02061073738537634,0.006870245795125446,0.1412214747707527,0.01871676732425794,0.1459461984718267,0.1253354610864504,0.8587785252292474
19.2,0.03464116109197803,0.02224973083796606,0.02591231629491418,0.008637438764971393,0.1518246325898284,0.02224973083796606,0.1706726757898323,0.1447603594949181,0.8481753674101716
19.4,0.03885552785829918,0.0256791611866328,0.03159377236576605,0.01053125745525535,0.163187544731532,0.0256791611866328,0.1936040671347959,0.1620102947690299,0.8368124552684679
19.6,0.04253677059627137,0.02896304615318983,0.03756550564175735,0.01252183521391912,0.1751310112835146,0.02896304615318983,0.2144994502483836,0.1769339446066262,0.8248689887164854
19.8,0.0456867163968443,0.03207526083344321,0.0437333383217848,0.01457777944059493,0.1874666766435696,0.03207526083344321,0.2332859316908625,0.1895525933690777,0.8125333233564304
20,0.04833333333333333,0.035,0.04999999999999999,0.01666666666666666,0.2,0.035,0.25,0.2,0.8
